clone_a,clone_b,batch,n_a,n_b,sinkhorn,energy
E7.5-R1-C2,E7.5-R2-C5,18,182,47,62.53611755371094,8.322684288024902
E7.5-R1-C2,E7.5-R2-C5,19,182,47,48.99824523925781,5.421517372131348
E7.5-R1-C2,E7.5-R2-C5,20,182,47,43.74458312988281,5.691969871520996
E7.5-R1-C2,E7.5-R2-C5,21,182,47,54.918067932128906,8.605578422546387
E7.5-R1-C2,E7.5-R2-C5,22,182,47,72.36296081542969,7.173464775085449
E7.5-R1-C2,E7.5-R2-C5,23,182,47,55.629661560058594,7.491157531738281
E7.5-R1-C2,E7.5-R2-C5,24,182,47,33.145782470703125,4.097565650939941
E7.5-R1-C2,E7.5-R2-C5,25,182,47,65.71229553222656,8.003284454345703
E7.5-R1-C2,E7.5-R2-C5,26,182,47,28.82321548461914,4.350089073181152
E7.5-R1-C2,E7.5-R2-C5,27,182,47,50.74137878417969,7.275841236114502
E7.5-R1-C2,E7.5-R2-C5,28,182,47,42.209075927734375,5.516721725463867
E7.5-R1-C2,E7.5-R2-C5,29,182,47,40.845855712890625,5.535627365112305
E7.5-R1-C2,E7.5-R2-C5,30,182,47,44.49413299560547,6.125864028930664
E7.5-R1-C2,E7.5-R2-C5,31,182,47,27.391977310180664,4.0515899658203125
E7.5-R1-C2,E7.5-R2-C5,32,182,47,42.76799011230469,6.037555694580078
E7.5-R1-C2,E7.5-R2-C5,33,182,47,45.87531661987305,6.258334159851074
E7.5-R1-C2,E7.5-R2-C5,34,182,47,41.637664794921875,5.383844375610352
E7.5-R1-C2,E7.5-R2-C5,35,182,47,29.502561569213867,4.58785343170166
E7.5-R1-C2,E7.5-R2-C5,36,182,47,35.828094482421875,4.614520072937012
E7.5-R1-C2,E7.5-R2-C5,37,182,47,59.01361083984375,7.562385082244873
E7.5-R1-C2,E7.5-R2-C5,38,182,47,32.58013916015625,4.806440353393555
E7.5-R1-C2,E7.5-R2-C5,39,182,47,37.010013580322266,5.246190071105957
E7.5-R1-C2,E7.5-R2-C5,40,182,47,46.183502197265625,4.826557636260986
E7.5-R1-C2,E7.5-R2-C5,41,182,47,39.78240966796875,6.296393394470215
E7.5-R1-C2,E7.5-R2-C5,42,182,47,42.79938507080078,6.121575355529785
E7.5-R1-C2,E7.5-R2-C5,43,182,47,29.564208984375,5.039228439331055
E7.5-R1-C2,E7.5-R2-C5,44,182,47,61.90760040283203,6.874541282653809
E7.5-R1-C2,E7.5-R2-C5,45,182,47,33.55702209472656,4.647585391998291
E7.5-R1-C2,E7.5-R2-C5,46,182,47,42.11423110961914,6.669803142547607
E7.5-R1-C2,E7.5-R2-C4,0,182,110,24.663219451904297,2.3372230529785156
E7.5-R1-C2,E7.5-R2-C4,1,182,110,19.38277816772461,1.8906736373901367
E7.5-R1-C2,E7.5-R2-C4,2,182,110,37.800010681152344,2.4612016677856445
E7.5-R1-C2,E7.5-R2-C4,3,182,110,31.349803924560547,2.407085418701172
E7.5-R1-C2,E7.5-R2-C4,4,182,110,28.232574462890625,2.628237724304199
E7.5-R1-C2,E7.5-R2-C4,5,182,110,44.07261276245117,2.671816825866699
E7.5-R1-C2,E7.5-R2-C4,6,182,110,35.331783294677734,2.609774589538574
E7.5-R1-C2,E7.5-R2-C4,7,182,110,39.8622932434082,2.601139545440674
E7.5-R1-C2,E7.5-R2-C4,8,182,110,42.942291259765625,3.5991086959838867
E7.5-R1-C2,E7.5-R2-C4,9,182,110,25.743602752685547,2.385335922241211
E7.5-R1-C2,E7.5-R2-C4,10,182,110,36.9200439453125,3.464291572570801
E7.5-R1-C2,E7.5-R2-C4,11,182,110,47.56269836425781,5.003365993499756
E7.5-R1-C2,E7.5-R2-C4,12,182,110,22.26852035522461,2.428664207458496
E7.5-R1-C2,E7.5-R2-C4,13,182,110,46.221988677978516,4.420790195465088
